"name","y2050Marketcap"
"Bitcoin","111147067862.7145"
"Ethereum","22082789328.39483"
"Ripple","37133216531.57708"
"Bitcoin Cash","7106684531.57674"
"Litecoin","8007231333.489535"
"Eos","10102068791.181402"
"Binance Coin","1930818884.4616225"
"Cardano","4201015220.2970524"
"Stellar","18847480531.074997"
"Tether",""
"TRON","3239436701.9633393"
"Bitoin Cash SV","1915399361.3615305"
"Monero","1625666422.6423082"
"Digital Cash","2585356597.488281"
"IOTA","1005717186.0733696"
"NEO","1342362747.495366"
"Maker","797227113.8077494"
"Ontology","1637265766.4520123"
"Tezos","1880547271.940698"
"New Economy Movement","679553903.3458195"
"Ethereum Classic","1182023192.305872"
"Zcash","1588153468.063166"
"Dogecoin","1031939649.5023935"
"VeChain","680405851.3156099"
"Basic Attention Token","455373594.04414904"
"Qtum","382114550.3609327"
"OmiseGO","313551962.07412"
"Waves","303927164.3342699"
"Bitcoin Gold","360395004.2349172"
"USD Coin",""
"Lisk","516601008.1223108"
"Decred","531637492.8872105"
"Augur","228941657.95091334"
"0x","386597025.7125965"
"ICON","347675159.9610566"
"Zilliqa","507228860.51161945"
"Chainlink","601201694.2457137"
"BitShares","280707651.40337026"
"Bitcoin Diamond","262373876.15019995"
"TrueUSD",""
"Nano","199670896.5644642"
"Ravencoin","1194595936.2167"
"DigiByte","336662062.3418643"
"Aeternity","190778037.95928785"
"IOST","305465277.11238956"
"Holo","344297233.32054615"
"Bytecoin","175880798.66946778"
"KuCoin Shares","181698892.22453374"
"Steem","338588145.7712672"
"Verge","150920398.16359377"
"Komodo","257134134.57128677"
"Bytom","309003258.49381274"
"Huobi Token","1401669789.703607"
"Siacoin","322878531.3036737"
"BitTorrent",""
"Pundi X",""
"Stratis","142353175.22593427"
"Maximine Coin",""
"Enjin Coin","153849793.56589526"
"Paxos Standard Token",""
"Status","213259071.62596193"
"Theta Token","117991848.48612449"
"Golem","104362917.70548998"
"Ardor","93537473.15133825"
"Populous","91757626.06475285"
"Dai",""
"Waltonchain","209875950.3688583"
"Factom","75175874.96973044"
"Ark","90505057.48968965"
"GXChain","127019194.1717578"
"Revain","148161807.0083959"
"MaidSafeCoin","683069820.2664256"
"Loopring","119498024.64642149"
"Aion","152471651.39811164"
"NULS","259889323.59968105"
"Metaverse ETP",""
"Elastos","147752766.8717838"
"WAX","127353061.35055503"
"Loom Network","82950974.87741798"
"PCHAIN","154947150.56670257"
"Decentraland","538230911.6130407"
"ZCoin","188858279.2015934"
"Gemini Dollar",""
"Bibox Token",""
"PIVX","150318197.93778646"
"Crypto.com","122511829.07265517"
"aelf","213231798.75971887"
"Electroneum","0"
"Nebulas","128358312.73833433"
"QASH","156734694.36853784"
"ReddCoin","281534719.4088374"
"Polymath","125324192.9286788"
"Power Ledger","132368736.19593184"
"Wanchain","103339412.46469626"
"ODEM",""
"WaykiChain","56729234.785373256"
"Nexo","88839279.95772615"
"Dent","100669178.53290576"
"Horizen","168868928.2625747"
"Enigma","100570732.0906162"
"QuarkChain","520153666.3396558"
"Kyber Network","66534539.86950839"
"Bancor","58302296.03224118"
"Storj","148467988.0158368"
"DigixDAO",""
"LATOKEN",""
"Kin",""
"iExec RLC",""
"Santiment Network Token",""
"MonaCoin","66632292.97560567"
"TrueChain",""
"Nxt","40619334.43356057"
"MOAC",""
"TomoChain",""
"Syscoin","57558804.09664078"
"Gas","224138916.69686055"
"TenX","66291783.83561485"
"FunFair","63513252.31943394"
"Iconomi","36099384.53831243"
"Davinci Coin",""
"Envion",""
"Cortex","44108587.437369"
"STASIS EURS",""
"Groestlcoin",""
"Byteball Bytes",""
"Civic","98180548.75183988"
"IoTeX","127125132.30297087"
"Cryptaur",""
"Cindicator",""
"SingularityNET",""
"Bread","29649090.6022052"
"E-Dinar Coin",""
"Vertcoin","49304541.53504606"
"Bitcoin Private","28075001.060045034"
"High Performance Blockchain",""
"Mithril","52340821.13150514"
"Centrality","27615441.377253115"
"Moeda Loyalty Points","26289288.424764"
"Mainframe","39225151.24088654"
"TokenClub",""
"Metal","39680255.610504895"
"KAN",""
"Telcoin",""
"Clams",""
"Nexus",""
"Neblio",""
"Everex","28138770.622740228"
"Matrix AI Network",""
"Odyssey","36084890.81698341"
"Cosmo Coin",""
"CRYPTO20",""
"Bezant",""
"Grin","3518067157.2400856"
"Request Network","0"
"GoChain",""
"Skycoin",""
"Asch",""
"Storm","41314768.03699925"
"Gifto","40964540.03535701"
"Arcblock",""
"Particl","39362208.311288565"
"Aragon","28323932.9165582"
"Ethos","47828925.26264601"
"BnkToTheFuture",""
"Eidoo","62248910.505256504"
"Gnosis","181422924.74982607"
"Raiden Network Token","40112997.39385332"
"Genesis Vision",""
"SmartCash",""
"DeepBrain Chain",""
"SIRIN LABS Token","23063592.64584315"
"Po.et","19968769.08273331"
"Dentacoin","462311731.1418041"
"Cube",""
"Republic Protocol","30086281.31170311"
"Wabi",""
"Ignis","24458121.1066334"
"United Traders Token",""
"TokenCard",""
"Quantstamp",""
"SmartMesh",""
"Chainium",""
"Fusion",""
"Streamr DATAcoin","26378464.952866457"
"CyberVein",""
"OST","24989166.594328377"
"Libra Credit",""
"ContentBox",""
"Blocknet","63970463.647002175"
"NavCoin",""
"Ruff",""
"Robotina",""
"Numeraire","124722607.14009024"
"OneRoot Network",""
"BitCapitalVendor",""
"Peercoin",""
"THEKEY",""
"BOScoin",""
"Crypterium",""
"MediShares",""
"SALT","23804181.0237313"
"Einsteinium","21818636.745125927"
"Ripio Credit Network","31475018.683952693"
"FLO",""
"Bluzelle",""
"Presearch",""
"Emercoin",""
"HYCON",""
"Viacoin","14449155.822983965"
"Namecoin","20460291.16032917"
"UTRUST",""
"Achain",""
"VIBE",""
"ZClassic","46281567.66162398"
"IoT Chain",""
"Zipper",""
"Quantum Resistant Ledger","19957268.582633145"
"DMarket","14918607.480779888"
"Edgeless","15286201.407782422"
"DATA",""
"AdEx",""
"DigitalNote",""
"ETHLend","15011358.699610662"
"LockTrip",""
"VITE",""
"Propy",""
"RChain","30106527.47426765"
"Red Pulse Phoenix",""
"Nucleus Vision","23288293.807034373"
"Time New Bank",""
"Beam",""
"BLOCKv",""
"Insolar",""
"Melon","105905851.61869542"
"SingularDTV",""
"Ubiq",""
"PumaPay","41304104.180162445"
"IHT Real Estate Protocol",""
"Bottos",""
"Agrello",""
"All Sports",""
"SONM",""
"BitBay",""
"Ambrosus","26959015.34847543"
"QLC Chain","26696277.783623885"
"district0x","17790084.951635793"
"Substratum","12596320.859372173"
"Metronome",""
"Gulden",""
"Game.com",""
"Noah Coin",""
"POA Network","586626.7765218257"
"Steem Dollars","0"
"Burst","10577418.372805182"
"Bit-Z Token",""
"ZrCoin",""
"SwftCoin",""
"Tierion","22988461.424787235"
"AppCoins",""
"Aeron","10112804.274701333"
"WhiteCoin",""
"GameCredits","11404399.539172538"
"Pillar",""
"WePower",""
"Tripio",""
"APIS",""
"Incent",""
"KATZcoin",""
"Primecoin","0"
"Refereum","11917981.153403519"
"Monetha",""
"LBRY Credits","38683866.024192564"
"Lympo",""
"Internet Node Token",""
"Blox",""
"Pascal Coin",""
"Primas",""
"SaluS",""
"Etherparty","13083294.866180753"
"Genaro Network",""
"Hydro","21776064.329457805"
"Content Neutrality Network",""
"YOYOW",""
"BitTube",""
"Counterparty","0"
"Lunyr",""
"AirSwap",""
"BlockMason Credit Protocol",""
"Fortuna",""
"SwissBorg",""
"EDRCoin",""
"Swarm",""
"I/O Coin",""
"Viberate","7489789.044850036"
"Dock","15307984.681482742"
"Penta",""
"Bitcore",""
"Seele",""
"Aeon",""
"Mercury",""
"Measurable Data Token",""
"adToken",""
"PotCoin","28524632.69868262"
"Shift",""
"Hxro","156843484.6515556"
"Sentinel Protocol",""
"Polybius",""
"Wings",""
"OAX","22723617.39915604"
"EDUCare",""
"BlackCoin",""
"Ink",""
"SpaceChain",""
"eosDAC",""
"Kcash",""
"VeriCoin",""
"Global Currency Reserve",""
"Feathercoin",""
"Unikoin Gold",""
"Neurotoken",""
"FirstBlood",""
"Airbloc",""
"Smartshare",""
"HempCoin",""
"Neumark",""
"DECENT",""
"Rublix",""
"Skrumble Network",""
"ATN",""
"Cashaa",""
"KickCoin",""
"Hydro Protocol",""
"Remme",""
"Delphy",""
"SpankChain","12867409.960727258"
"Diamond",""
"Digix Gold Token",""
"GridCoin",""
"CommerceBlock",""
"HalalChain",""
"Bloom","12664841.305683475"
"PolySwarm",""
"NAGA",""
"Crown",""
"Zebi",""
"Stealth",""
"ChatCoin",""
"FintruX Network",""
"QunQun",""
"Wowbit",""
"Quanta Utility Token",""
"Elastic",""
"SophiaTX",""
"ION",""
"LinkEye","6235819.543653897"
"Unibright",""
"CloakCoin",""
"DADI",""
"Phantasma",""
"Egretia",""
"SPINDLE",""
"Radium",""
"YEE",""
"Bean Cash",""
"FansTime",""
"U Network",""
"SunContract",""
"SolarCoin",""
"Dynamic",""
"Morpheus Labs",""
"Consensus",""
"Maecenas",""
"Sentinel",""
"LIFE",""
"MonetaryUnit",""
"Global Social Chain",""
"Xaurum",""
"Lendingblock",""
"XMax",""
"Myriad",""
"AI Doctor",""
"RevolutionVR",""
"TRAXIA",""
"Blackmoon",""
"Constellation",""
"LXT",""
"UpToken",""
"TaaS",""
"AidCoin",""
"Hive Project",""
"Gambit",""
"Zap",""
"Peculium",""
"ValueCyberToken",""
"NoLimitCoin",""
"Bitcoin Interest",""
"Medicalchain",""
"Humaniq",""
"BANKEX",""
"Bodhi",""
"HyperSpace",""
"EXRNchain",""
"SelfSell",""
"ShipChain",""
"Rate3",""
"Sharder",""
"ugChain",""
"The Abyss",""
"Curecoin",""
"Omni",""
"Pluton",""
"Energo",""
"CoinPoker",""
"Kleros",""
"Merculet",""
"GlobalBoost-Y",""
"NeuroChain",""
"FuzeX",""
"Datum",""
"Hi Mutual Society",""
"TransferCoin",""
"Musicoin",""
"Storiqa",""
"EchoLink",""
"Matchpool",""
"STK",""
"OKCash",""
"HiCoin",""
"Golos",""
"DIMCOIN",""
"Chronobank",""
"Circuits of Value",""
"SIBCoin",""
"Mysterium",""
"Sphere",""
"Databits",""
"Aventus",""
"BitSend",""
"GeoCoin",""
"Nework",""
"Stox",""
"Patientory",""
"Kore",""
"Zilla",""
"DOVU",""
"GoNetwork",""
"DATx",""
"Oxycoin",""
"SRCOIN",""
"TrustNote",""
"Qbao",""
"HOQU",""
"ProChain",""
"Banca",""
"indaHash",""
"Alphacat",""
"CashBet Coin",""
"Auroracoin",""
"Swarm City",""
"VeriumReserve",""
"ArtByte",""
"Memetic / PepeCoin",""
"VouchForMe",""
"Kind Ads Token",""
"DPRating",""
"ExclusiveCoin",""
"Blocktix",""
"WeTrust",""
"MaxCoin",""
"DopeCoin",""
"Patron",""
"Acute Angle Cloud",""
"Syndicate",""
"DAV Coin",""
"PinkCoin",""
"Silent Notary",""
"Matryx",""
"Dether",""
"Truegame Token",""
"Essentia",""
"Six Domain Chain",""
"Internet of People",""
"2GIVE",""
"FoldingCoin",""
"Qwark",""
"IXT",""
"CannabisCoin",""
"Faceter",""
"Breakout Stake",""
"GoByte",""
"Blocklancer",""
"Rentberry",""
"Nexium",""
"BetterBetting",""
"Starbase",""
"NeosCoin",""
"HunterCoin",""
"eBoost",""
"RealChain",""
"FlypMe",""
"ProCurrency",""
"AdHive",""
"Auctus",""
"BlockMesh",""
"Daneel",""
"Pylon Network",""
"BlitzPredict",""
"Bigbom",""
"Decentralized Machine Learning",""
"Suretly",""
"Tokenbox",""
"SportyCo",""
"Naviaddress",""
"genesis",""
"ACE (TokenStars)",""
"Aditus",""
"Paymon",""
"More Coin",""
"Stakers",""
"Chronologic",""
"bitJob",""
"Jury.Online Token",""
"ShowHand",""
"BitRent",""
"Engagement Token",""
"TokenDesk",""
"Team TokenStar",""
"Comet",""
"SocialCoin",""
"Crowd Machine",""
"Etheroll",""
"Gold Bits Coin",""
"GVE",""
"V Systems",""
"Ti-Value",""
"Ether Zero",""
"MESSE",""
"Things Operating System",""
"Wiki Token",""
"Engine",""
"Bankera",""
"ValueChain",""
"KEY",""
"EduCoin",""
"HitChain",""
"Cybereits",""
"Golos Gold",""
"SHE",""
"Super Bitcoin",""
"BitcoinX",""
"Ontology Gas",""
"Show",""
"RSK Smart Bitcoin",""
"MyToken",""
"InsurChain",""
"YOU COIN",""
"Lendroid Support Token",""
"Cosmos",""
"UC",""
"OFCOIN",""
"ClubCoin",""
"BKBT",""
"TopChain",""
"Exchange Union",""
"Carlive Chain",""
"Usechain Token",""
"WinToken",""
"StarChain",""
"Intelligent Investment Chain",""
"Dragonchain","53065128.89835993"
"Dragon Coins",""
"IPChain",""
"Ubique Chain Of Things",""
"Couchain",""
"Molecular Future",""
"LightChain",""
"InvestDigital",""
"MEX",""
"ZB Blockchain Foundation",""
"lifeextension",""
"Altcoin",""
"Influence Chain",""
"Baer Chain",""
"PC",""
"ORS Group",""
"CoinMeet",""
"Yuan Chain",""
"RIF Token",""
"UnlimitedIP",""
"Karatgold Coin",""
"StockChain",""
"Pixie Coin",""
"Endorsit",""
"United Bitcoin",""